metric,value
n_rows,20
hyb_int_min,14.767680636084599
hyb_int_avg,17.299201627017315
mip_obj_min,14.036732817992407
mip_obj_avg,17.02245911928651
gap_pct_avg,nan
hyb_total_avg_s,nan
polish_time_avg_s,nan
mip_time_avg_s,30.020582354068758
