family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct
SYN,200,4000,0,0.002,0.1,,200,0.001,15.271758886797006,0.8651447296142578,0.005800485610961914,1,14.856519631549025,30.001988410949707,
SYN,200,4000,1,0.002,0.1,,200,0.001,15.44483979882467,0.6804566383361816,0.0027532577514648438,1,14.792234878587252,29.999423027038574,
SYN,200,4000,2,0.002,0.1,,200,0.001,15.369310024051213,0.5836687088012695,0.002802610397338867,1,14.81132246402652,30.00564694404602,
SYN,200,4000,3,0.002,0.1,,200,0.001,16.28132995889029,0.6854991912841797,0.002809286117553711,1,15.742515273553321,30.010125398635864,
SYN,200,4000,4,0.002,0.1,,200,0.001,15.16605002191498,1.4059867858886719,0.004305839538574219,1,14.826824751653874,29.995184421539307,
SYN,200,4000,5,0.002,0.1,,200,0.001,16.234123557414666,0.592289924621582,0.002599000930786133,1,15.062162857336391,30.01240062713623,
SYN,200,4000,6,0.002,0.1,,200,0.001,14.767680636084599,0.9263582229614258,0.0031669139862060547,1,14.036732817992407,29.99371314048767,
SYN,200,4000,7,0.002,0.1,,200,0.001,15.919547315631442,0.6353487968444824,0.002941608428955078,1,15.520315818274035,30.006476402282715,
SYN,200,4000,8,0.002,0.1,,200,0.001,16.168059864387445,0.6130056381225586,0.0032112598419189453,1,15.763909070338542,29.990936517715454,
SYN,200,4000,9,0.002,0.1,,200,0.001,15.258967294341367,0.5147945880889893,0.002602100372314453,1,14.684292480447203,30.00566339492798,
SYN,300,6000,0,0.002,0.1,,200,0.001,19.12580588573462,2.110520839691162,0.015750646591186523,1,19.41527853112409,30.02726674079895,
SYN,300,6000,1,0.002,0.1,,200,0.001,19.543734027936384,2.023573398590088,0.01491403579711914,1,19.274586086429935,30.058924198150635,
SYN,300,6000,2,0.002,0.1,,200,0.001,18.54876207431535,1.1367480754852295,0.006226301193237305,1,18.63903451891856,30.063256978988647,
SYN,300,6000,3,0.002,0.1,,200,0.001,18.308031486804218,1.3333022594451904,0.004793643951416016,1,18.807861021485845,30.0019633769989,
SYN,300,6000,4,0.002,0.1,,200,0.001,18.57607605174624,1.3127994537353516,0.00481104850769043,1,19.160250020530235,29.999345779418945,
SYN,300,6000,5,0.002,0.1,,200,0.001,19.86164203229866,1.1706633567810059,0.00589299201965332,1,19.66347502735732,30.072132349014282,
SYN,300,6000,6,0.002,0.1,,200,0.001,19.053581694416035,1.5264406204223633,0.013781309127807617,1,19.142277469119993,30.03554105758667,
SYN,300,6000,7,0.002,0.1,,200,0.001,19.332541182362547,1.1866350173950195,0.005469083786010742,1,18.65508462348842,30.04725432395935,
SYN,300,6000,8,0.002,0.1,,200,0.001,18.955215436368633,1.0138819217681885,0.0050811767578125,1,19.201211365496434,30.030614137649536,
SYN,300,6000,9,0.002,0.1,,200,0.001,18.796975310025914,0.9862945079803467,0.0052645206451416016,1,18.393293678020793,30.053789854049683,
