metric,value
n_rows,10
hyb_int_min,213.0
hyb_int_avg,216.9
mip_obj_min,211.0
mip_obj_avg,211.0
gap_pct_avg,2.796208530805687
hyb_total_avg_s,47.357073390000004
polish_time_avg_s,0.9704115629196167
mip_time_avg_s,36.72730531692505
