metric,value
n_rows,10
hyb_int_min,14.767680636084599
hyb_int_avg,15.588166735833767
mip_obj_min,14.036732817992407
mip_obj_avg,15.009683004375855
gap_pct_avg,nan
hyb_total_avg_s,nan
polish_time_avg_s,nan
mip_time_avg_s,30.00160434246063
