family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct
SYN,200,4000,0,0.002,0.1,,200,0.001,15.271758886797006,0.4615790843963623,0.002600431442260742,1,14.856519631549025,30.00136923789978,
SYN,200,4000,1,0.002,0.1,,200,0.001,15.44483979882467,0.5502066612243652,0.0027093887329101562,1,14.792234878587252,30.000640392303467,
SYN,200,4000,2,0.002,0.1,,200,0.001,15.369310024051213,0.5349502563476562,0.0025815963745117188,1,14.81132246402652,30.001707077026367,
SYN,200,4000,3,0.002,0.1,,200,0.001,16.28132995889029,0.5331239700317383,0.002993345260620117,1,15.742515273553321,30.000723600387573,
SYN,200,4000,4,0.002,0.1,,200,0.001,15.16605002191498,0.5209445953369141,0.0032689571380615234,1,14.826824751653874,30.00060725212097,
SYN,200,4000,5,0.002,0.1,,200,0.001,16.234123557414666,0.5337173938751221,0.0027627944946289062,1,15.062162857336391,30.001075983047485,
SYN,200,4000,6,0.002,0.1,,200,0.001,14.767680636084599,0.5245208740234375,0.002817392349243164,1,14.036732817992407,30.001399040222168,
SYN,200,4000,7,0.002,0.1,,200,0.001,15.919547315631442,0.49959373474121094,0.0026657581329345703,1,15.520315818274035,30.004791975021362,
SYN,200,4000,8,0.002,0.1,,200,0.001,16.168059864387445,0.5152273178100586,0.0026879310607910156,1,15.763909070338542,30.000892162322998,
SYN,200,4000,9,0.002,0.1,,200,0.001,15.258967294341367,0.5030684471130371,0.0026328563690185547,1,14.684292480447203,30.00283670425415,
