metric,value
n_rows,10
hyb_int_min,213.0
hyb_int_avg,215.3
mip_obj_min,211.0
mip_obj_avg,211.0
gap_pct_avg,2.037914691943128
hyb_total_avg_s,48.42926647000022
polish_time_avg_s,1.0187436819076539
mip_time_avg_s,34.85220079421997
