C,N,R,col_err,eta,family,hyb_cost,hyb_gap_pct,m,max_cell_dev,mode,n,opt_cost,opt_time,relax_time,round_time,rounder,row_err,tau,topk,trial
120,120000,120,0,,population2d,,,,0.7692750000000013,,,,,0.0003707408905029297,0.5360455513000488,lp-sparse,0,,,1
120,120000,120,0,,population2d,,,,0.7620833333333383,,,,,7.581710815429688e-05,0.5424587726593018,lp-sparse,0,,,2
120,120000,120,0,,population2d,,,,0.9270833333333326,,,,,7.486343383789062e-05,0.4665257930755615,lp-sparse,0,,,3
120,120000,120,0,,population2d,,,,0.9972833333333335,,,,,8.153915405273438e-05,0.48821210861206055,lp-sparse,0,,,4
120,120000,120,0,,population2d,,,,0.9976916666666669,,,,,0.0002193450927734375,0.43447065353393555,lp-sparse,0,,,5
120,120000,120,0,,population2d,,,,0.7994999999999992,,,,,7.414817810058594e-05,0.5703461170196533,lp-sparse,0,,,6
120,120000,120,0,,population2d,,,,0.9311000000000003,,,,,7.939338684082031e-05,0.5395450592041016,lp-sparse,0,,,7
120,120000,120,0,,population2d,,,,0.7180833333333336,,,,,0.00020694732666015625,0.5151658058166504,lp-sparse,0,,,8
120,120000,120,0,,population2d,,,,0.7908000000000006,,,,,7.462501525878906e-05,0.5108749866485596,lp-sparse,0,,,9
120,120000,120,0,,population2d,,,,0.7193,,,,,7.748603820800781e-05,0.5511529445648193,lp-sparse,0,,,10
,20000,,,0.0,transport,347.9443808672077,0.0,200,,exact,200,347.9443808672077,0.26767516136169434,0.002023458480834961,0.2598700523376465,,,0.05,30,1
,20000,,,0.0,transport,305.64931623885553,0.0,200,,exact,200,305.64931623885553,0.23503828048706055,0.002034425735473633,0.28143978118896484,,,0.05,30,2
,20000,,,0.0,transport,298.10192117003845,0.0,200,,exact,200,298.10192117003845,0.24912190437316895,0.002721548080444336,0.24799704551696777,,,0.05,30,3
,20000,,,0.0,transport,345.59673586242684,0.0,200,,exact,200,345.59673586242684,0.25031208992004395,0.001882314682006836,0.25244975090026855,,,0.05,30,4
,20000,,,0.0,transport,326.255813236535,0.0,200,,exact,200,326.255813236535,0.2543201446533203,0.0021278858184814453,0.2457106113433838,,,0.05,30,5
,20000,,,0.0,transport,363.41641417031815,0.0,200,,exact,200,363.41641417031815,0.2825329303741455,0.0017986297607421875,0.25485849380493164,,,0.05,30,6
,20000,,,0.0,transport,283.9380076369109,0.0,200,,exact,200,283.9380076369109,0.23548436164855957,0.0019049644470214844,0.23740673065185547,,,0.05,30,7
,20000,,,0.0,transport,316.7917102447634,0.0,200,,exact,200,316.7917102447634,0.26102423667907715,0.001973390579223633,0.25542736053466797,,,0.05,30,8
,20000,,,0.0,transport,355.13288650139634,0.0,200,,exact,200,355.13288650139634,0.24040699005126953,0.0019159317016601562,0.28219103813171387,,,0.05,30,9
,20000,,,0.0,transport,316.2087393614181,0.0,200,,exact,200,316.2087393614181,0.26192665100097656,0.0017032623291015625,0.2591726779937744,,,0.05,30,10
