anytime_method_0,anytime_method_1,anytime_method_2,anytime_method_3,anytime_obj_0,anytime_obj_1,anytime_obj_2,anytime_obj_3,anytime_summary,anytime_t_0,anytime_t_1,anytime_t_2,anytime_t_3,controller,dataset,family,feasible,gap_pct,hyb_int,hyb_total,improve,k,m,mip_obj,mip_time,n,polish_obj,polish_time,relax_obj,relax_time,round_main,round_obj,round_rr,seed,trial
relaxation,randomized_rounding,local_improvement,polish,nan,494.0,330.0,250.0,randomized_rounding:494@0.025s|local_improvement:330@0.028s|polish:250@0.537s,0.012977838516235352,0.025077538506593555,0.02817313850391656,0.5373250740813091,both,rail582,RAIL582,1,18.48341232227488,250.0,30.05576480005402,0.0030955999973230064,1,55515,211.0,28.962913990020752,582,250.0,0.5091519355773926,427.046002956652,0.012977838516235352,0.0,494.0,0.012099699990358204,411,0
relaxation,randomized_rounding,local_improvement,,nan,517.0,335.0,,randomized_rounding:517@0.027s|local_improvement:335@0.030s,0.014451265335083008,0.02687566529493779,0.03012766531901434,,both,rail582,RAIL582,1,58.76777251184834,335.0,29.900598200038075,0.003252000024076551,1,55515,211.0,29.07921814918518,582,335.0,0.4158926010131836,427.046002956652,0.014451265335083008,0.0,517.0,0.012424399959854782,412,1
relaxation,randomized_rounding,local_improvement,,nan,510.0,348.0,,randomized_rounding:510@0.026s|local_improvement:348@0.034s,0.013611078262329102,0.026499478262849152,0.03402027831180021,,both,rail582,RAIL582,1,64.92890995260663,348.0,29.938577299995814,0.00752080004895106,1,55515,211.0,29.0800039768219,582,348.0,0.4058201313018799,427.046002956652,0.013611078262329102,0.0,510.0,0.01288840000052005,413,2
