family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct
SYN,200,4000,0,0.002,0.1,,200,0.001,15.271758886797006,0.7238445281982422,0.003980875015258789,1,14.5838824408672,30.87691354751587,14.33374387749452
SYN,200,4000,1,0.002,0.1,,200,0.001,15.44483979882467,0.7344052791595459,0.0043985843658447266,1,14.542825415982126,30.120949029922485,12.273749788776222
SYN,200,4000,2,0.002,0.1,,200,0.001,15.369310024051213,0.7629387378692627,0.004900217056274414,1,15.01468081385807,30.158278465270996,15.888072480757396
SYN,200,4000,3,0.002,0.1,,200,0.001,16.28132995889029,0.928520679473877,0.004991054534912109,1,15.086642545718714,30.0650691986084,11.214375109565937
SYN,200,4000,4,0.002,0.1,,200,0.001,15.16605002191498,0.7352426052093506,0.005177974700927734,1,14.553369750859495,30.080299615859985,13.563673393765116
SYN,300,6000,0,0.002,0.1,,200,0.001,19.12580588573462,1.1970527172088623,0.009246826171875,1,20.583297536200135,30.08390998840332,30.299531642873355
SYN,300,6000,1,0.002,0.1,,200,0.001,19.543734027936384,1.3388450145721436,0.008949518203735352,1,20.071973566116167,30.120986461639404,27.645838012502864
SYN,300,6000,2,0.002,0.1,,200,0.001,18.54876207431535,1.2370615005493164,0.010303497314453125,1,19.876983431317438,30.099618434906006,29.166488636723358
SYN,300,6000,3,0.002,0.1,,200,0.001,18.308031486804218,1.1764740943908691,0.00925898551940918,1,19.01561997637171,30.093691110610962,27.064764646901068
SYN,300,6000,4,0.002,0.1,,200,0.001,18.57607605174624,1.2916591167449951,0.00958561897277832,1,18.83269665176672,30.197850465774536,25.81616748814424
