family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct
SYN,200,4000,0,0.002,0.1,,200,0.001,15.271758886797006,0.45520734786987305,0.002712249755859375,1,14.93979818521886,30.622626543045044,16.374599378730657
SYN,200,4000,1,0.002,0.1,,200,0.001,15.44483979882467,0.6256647109985352,0.004963874816894531,1,14.542825415982126,30.10805630683899,12.273749788776222
SYN,200,4000,2,0.002,0.1,,200,0.001,15.369310024051213,0.7054104804992676,0.005339622497558594,1,15.00855925149464,30.048495054244995,15.85376562950077
SYN,200,4000,3,0.002,0.1,,200,0.001,16.28132995889029,0.9180436134338379,0.005282878875732422,1,15.085137627749639,30.08801817893982,11.20551771060874
SYN,200,4000,4,0.002,0.1,,200,0.001,15.16605002191498,0.7323579788208008,0.004861116409301758,1,14.553369750859495,30.060227870941162,13.563673393765116
SYN,300,6000,0,0.002,0.1,,200,0.001,19.12580588573462,1.1969163417816162,0.009136438369750977,1,20.583297536200135,30.07187294960022,30.299531642873355
SYN,300,6000,1,0.002,0.1,,200,0.001,19.543734027936384,1.4503202438354492,0.01214289665222168,1,20.071973566116167,30.09285831451416,27.645838012502864
SYN,300,6000,2,0.002,0.1,,200,0.001,18.54876207431535,1.2741031646728516,0.010464191436767578,1,19.876983431317438,30.089832067489624,29.166488636723358
SYN,300,6000,3,0.002,0.1,,200,0.001,18.308031486804218,1.4883136749267578,0.010447263717651367,1,19.01561997637171,30.105907678604126,27.064764646901068
SYN,300,6000,4,0.002,0.1,,200,0.001,18.57607605174624,1.4431166648864746,0.009077072143554688,1,18.83269665176672,30.1187424659729,25.81616748814424
