family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct
SYN,200,4000,0,0.002,0.1,,200,0.001,15.271758886797006,0.841118335723877,0.00417637825012207,1,14.856519631549025,29.997836112976074,
SYN,200,4000,1,0.002,0.1,,200,0.001,15.44483979882467,0.5591697692871094,0.0029633045196533203,1,14.792234878587252,30.000775814056396,
SYN,200,4000,2,0.002,0.1,,200,0.001,15.369310024051213,0.6062412261962891,0.005852937698364258,1,14.81132246402652,29.999391317367554,
SYN,200,4000,3,0.002,0.1,,200,0.001,16.28132995889029,0.5525565147399902,0.002866506576538086,1,15.742515273553321,30.003716945648193,
SYN,200,4000,4,0.002,0.1,,200,0.001,15.16605002191498,0.6267814636230469,0.0031120777130126953,1,14.826824751653874,30.003647089004517,
SYN,300,6000,0,0.002,0.1,,200,0.001,19.12580588573462,1.1858930587768555,0.007827997207641602,1,19.41527853112409,30.050336122512817,
SYN,300,6000,1,0.002,0.1,,200,0.001,19.543734027936384,1.2274391651153564,0.006299495697021484,1,19.274586086429935,30.063963174819946,
SYN,300,6000,2,0.002,0.1,,200,0.001,18.54876207431535,1.0940489768981934,0.005416393280029297,1,18.63903451891856,30.01095938682556,
SYN,300,6000,3,0.002,0.1,,200,0.001,18.308031486804218,1.1466519832611084,0.005821943283081055,1,18.807861021485845,30.01408624649048,
SYN,300,6000,4,0.002,0.1,,200,0.001,18.57607605174624,1.3636479377746582,0.006098270416259766,1,19.160250020530235,30.015236139297485,
