metric,value
n_rows,20
hyb_int_min,213.0
hyb_int_avg,215.0
mip_obj_min,211.0
mip_obj_avg,211.05
gap_pct_avg,1.8719261378878655
hyb_total_avg_s,30.771311030000014
polish_time_avg_s,1.0022559762001038
mip_time_avg_s,19.414524483680726
