C,N,R,col_err,eta,family,hyb_cost,hyb_gap_pct,m,max_cell_dev,mode,n,opt_cost,opt_time,relax_time,round_time,rounder,row_err,tau,topk,trial
80,50000,80,0,,population2d,,,,0.6607999999999956,,,,,0.00012254714965820312,0.15097641944885254,lp-sparse,0,,,1
80,50000,80,0,,population2d,,,,0.8491999999999997,,,,,6.604194641113281e-05,0.13242030143737793,lp-sparse,0,,,2
80,50000,80,0,,population2d,,,,0.7811999999999995,,,,,0.0002319812774658203,0.1498579978942871,lp-sparse,0,,,3
80,50000,80,0,,population2d,,,,0.6800000000000024,,,,,6.270408630371094e-05,0.1489417552947998,lp-sparse,0,,,4
80,50000,80,0,,population2d,,,,0.6810000000000007,,,,,6.890296936035156e-05,0.14803481101989746,lp-sparse,0,,,5
80,50000,80,0,,population2d,,,,0.7708000000000006,,,,,6.365776062011719e-05,0.13894248008728027,lp-sparse,0,,,6
80,50000,80,0,,population2d,,,,0.7404000000000002,,,,,0.0002338886260986328,0.14484667778015137,lp-sparse,0,,,7
80,50000,80,0,,population2d,,,,0.8623999999999996,,,,,6.318092346191406e-05,0.13260316848754883,lp-sparse,0,,,8
80,50000,80,0,,population2d,,,,0.9411199999999993,,,,,5.173683166503906e-05,0.09703731536865234,lp-sparse,0,,,9
80,50000,80,0,,population2d,,,,0.6909800000000006,,,,,6.008148193359375e-05,0.14231085777282715,lp-sparse,0,,,10
80,50000,80,0,,population2d,,,,0.7007999999999983,,,,,0.00020956993103027344,0.147477388381958,lp-sparse,0,,,11
80,50000,80,0,,population2d,,,,0.7581399999999996,,,,,4.863739013671875e-05,0.16025662422180176,lp-sparse,0,,,12
80,50000,80,0,,population2d,,,,0.8179199999999993,,,,,7.319450378417969e-05,0.13362812995910645,lp-sparse,0,,,13
80,50000,80,0,,population2d,,,,0.9844200000000005,,,,,0.00012159347534179688,0.12896060943603516,lp-sparse,0,,,14
80,50000,80,0,,population2d,,,,0.6931999999999996,,,,,6.842613220214844e-05,0.1424388885498047,lp-sparse,0,,,15
80,50000,80,0,,population2d,,,,0.9324800000000002,,,,,4.696846008300781e-05,0.11043405532836914,lp-sparse,0,,,16
80,50000,80,0,,population2d,,,,0.8424999999999994,,,,,6.818771362304688e-05,0.12666630744934082,lp-sparse,0,,,17
80,50000,80,0,,population2d,,,,0.76648,,,,,4.76837158203125e-05,0.14005637168884277,lp-sparse,0,,,18
80,50000,80,0,,population2d,,,,0.7634400000000003,,,,,0.00027108192443847656,0.14122462272644043,lp-sparse,0,,,19
80,50000,80,0,,population2d,,,,0.8036400000000015,,,,,6.580352783203125e-05,0.12150192260742188,lp-sparse,0,,,20
120,120000,120,0,,population2d,,,,0.7186750000000002,,,,,8.320808410644531e-05,0.5184435844421387,lp-sparse,0,,,1
120,120000,120,0,,population2d,,,,0.8367499999999994,,,,,0.0002048015594482422,0.4774198532104492,lp-sparse,0,,,2
120,120000,120,0,,population2d,,,,0.8175666666666714,,,,,0.0001704692840576172,0.5358774662017822,lp-sparse,0,,,3
120,120000,120,0,,population2d,,,,0.8387750000000005,,,,,7.581710815429688e-05,0.5164268016815186,lp-sparse,0,,,4
120,120000,120,0,,population2d,,,,0.6925333333333348,,,,,7.748603820800781e-05,0.5169477462768555,lp-sparse,0,,,5
120,120000,120,0,,population2d,,,,0.7539583333333324,,,,,0.0002028942108154297,0.501960039138794,lp-sparse,0,,,6
120,120000,120,0,,population2d,,,,0.7607499999999989,,,,,0.0002143383026123047,0.5289957523345947,lp-sparse,0,,,7
120,120000,120,0,,population2d,,,,0.9925333333333335,,,,,0.0001709461212158203,0.4342923164367676,lp-sparse,0,,,8
120,120000,120,0,,population2d,,,,0.9980999999999998,,,,,7.653236389160156e-05,0.3753814697265625,lp-sparse,0,,,9
120,120000,120,0,,population2d,,,,0.7525749999999993,,,,,7.05718994140625e-05,0.5324504375457764,lp-sparse,0,,,10
120,120000,120,0,,population2d,,,,0.7265000000000001,,,,,7.414817810058594e-05,0.5063369274139404,lp-sparse,0,,,11
120,120000,120,0,,population2d,,,,0.7206499999999982,,,,,7.510185241699219e-05,0.518852710723877,lp-sparse,0,,,12
120,120000,120,0,,population2d,,,,0.9881666666666662,,,,,7.534027099609375e-05,0.41331958770751953,lp-sparse,0,,,13
120,120000,120,0,,population2d,,,,0.8211999999999995,,,,,7.200241088867188e-05,0.4800586700439453,lp-sparse,0,,,14
120,120000,120,0,,population2d,,,,0.7524499999999996,,,,,7.82012939453125e-05,0.5225925445556641,lp-sparse,0,,,15
120,120000,120,0,,population2d,,,,0.975008333333333,,,,,0.00020742416381835938,0.44779276847839355,lp-sparse,0,,,16
120,120000,120,0,,population2d,,,,0.9899000000000004,,,,,7.915496826171875e-05,0.3851585388183594,lp-sparse,0,,,17
120,120000,120,0,,population2d,,,,0.7632333333333339,,,,,7.534027099609375e-05,0.5295877456665039,lp-sparse,0,,,18
120,120000,120,0,,population2d,,,,0.7441166666666672,,,,,7.390975952148438e-05,0.5596878528594971,lp-sparse,0,,,19
120,120000,120,0,,population2d,,,,0.8505500000000008,,,,,8.96453857421875e-05,0.5251953601837158,lp-sparse,0,,,20
160,200000,160,0,,population2d,,,,0.7269999999999985,,,,,0.000217437744140625,1.477832555770874,lp-sparse,0,,,1
160,200000,160,0,,population2d,,,,0.888574999999999,,,,,0.00011157989501953125,1.5618202686309814,lp-sparse,0,,,2
