family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct
SYN,200,4000,0,0.002,0.1,,200,0.001,15.271758886797006,0.4607205390930176,0.0025937557220458984,1,14.9878498880838,20.57734251022339,16.642706073995164
SYN,200,4000,1,0.002,0.1,,200,0.001,15.44483979882467,0.6517419815063477,0.004551410675048828,1,14.542825415982126,20.06850552558899,13.104349255165781
SYN,200,4000,2,0.002,0.1,,200,0.001,15.369310024051213,0.6519973278045654,0.004046916961669922,1,15.122819718605662,20.088317155838013,16.49374758440041
SYN,200,4000,3,0.002,0.1,,200,0.001,16.28132995889029,0.6957578659057617,0.004802703857421875,1,15.204238670593082,20.04344391822815,12.998400412768325
SYN,200,4000,4,0.002,0.1,,200,0.001,15.16605002191498,0.656191349029541,0.0046863555908203125,1,14.553369750859495,20.05698537826538,13.633933202064902
SYN,300,6000,0,0.002,0.1,,200,0.001,19.12580588573462,5.3074164390563965,0.018496274948120117,1,20.798972134911192,20.25533652305603,31.02228950058805
SYN,300,6000,1,0.002,0.1,,200,0.001,19.543734027936384,6.380870342254639,0.021391630172729492,1,20.690956175669985,20.23090434074402,29.810357023555795
SYN,300,6000,2,0.002,0.1,,200,0.001,18.54876207431535,4.949582815170288,0.02214646339416504,1,19.938783185485764,20.177118062973022,29.3860353135896
SYN,300,6000,3,0.002,0.1,,200,0.001,18.308031486804218,4.851560115814209,0.01844024658203125,1,19.446871404685762,20.134724855422974,28.682167455090912
SYN,300,6000,4,0.002,0.1,,200,0.001,18.57607605174624,4.9107396602630615,0.02004408836364746,1,19.00235897864539,20.18812847137451,26.478516918279894
