anytime_method_0,anytime_method_1,anytime_method_2,anytime_method_3,anytime_obj_0,anytime_obj_1,anytime_obj_2,anytime_obj_3,anytime_summary,anytime_t_0,anytime_t_1,anytime_t_2,anytime_t_3,controller,dataset,family,feasible,gap_pct,hyb_int,hyb_total,improve,k,m,mip_obj,mip_time,n,polish_obj,polish_time,relax_obj,relax_time,round_main,round_obj,round_rr,seed,trial
relaxation,randomized_rounding,local_improvement,polish,nan,508.0,325.0,242.0,randomized_rounding:508@0.028s|local_improvement:325@0.034s|polish:242@0.642s,0.016869544982910156,0.02835014497395605,0.03356054497999139,0.6420090503816027,both,rail582,RAIL582,1,14.150943396226415,242.0,19.91972849999729,0.005210400006035343,1,55515,212.0,18.440653085708618,582,242.0,0.6084485054016113,427.046002956652,0.016869544982910156,0.0,508.0,0.011480599991045892,411,0
relaxation,randomized_rounding,local_improvement,,nan,508.0,336.0,,randomized_rounding:508@0.030s|local_improvement:336@0.034s,0.017954111099243164,0.02960731109487824,0.03424611109949183,,both,rail582,RAIL582,1,59.241706161137444,336.0,20.118075199992745,0.004638800004613586,1,55515,211.0,19.125996112823486,582,336.0,0.48629164695739746,427.046002956652,0.017954111099243164,0.0,508.0,0.011653199995635077,412,1
relaxation,randomized_rounding,local_improvement,,nan,493.0,339.0,,randomized_rounding:493@0.027s|local_improvement:339@0.031s,0.01667308807373047,0.02664268808439374,0.031182288090349175,,both,rail582,RAIL582,1,59.905660377358494,339.0,19.863550099995336,0.004539600005955435,1,55515,212.0,18.853896379470825,582,339.0,0.46971940994262695,427.046002956652,0.01667308807373047,0.0,493.0,0.009969600010663271,413,2
relaxation,main_rounding,local_improvement,,nan,363.0,332.0,,main_rounding:363@75.683s|local_improvement:332@75.686s,0.017173290252685547,75.68299809024029,75.68580999023106,,both,rail582,RAIL582,1,56.60377358490566,332.0,95.76896340001258,0.002811899990774691,1,55515,212.0,19.123950004577637,582,332.0,0.5110054016113281,427.046002956652,0.017173290252685547,75.65362889999233,363.0,0.012195899995276704,414,3
relaxation,randomized_rounding,local_improvement,,nan,501.0,341.0,,randomized_rounding:501@0.071s|local_improvement:341@0.082s,0.0436403751373291,0.07053577512851916,0.08203617512481287,,both,rail582,RAIL582,1,60.84905660377358,341.0,22.520484199994826,0.011500399996293709,1,55515,212.0,21.172289609909058,582,341.0,0.5634129047393799,427.046002956652,0.0436403751373291,0.0,501.0,0.02689539999119006,415,4
relaxation,randomized_rounding,local_improvement,,nan,492.0,336.0,,randomized_rounding:492@0.030s|local_improvement:336@0.034s,0.01694941520690918,0.030497415209538303,0.03407871520903427,,both,rail582,RAIL582,1,58.490566037735846,336.0,20.54524219999439,0.0035812999994959682,1,55515,212.0,19.310394763946533,582,336.0,0.5996112823486328,427.046002956652,0.01694941520690918,0.0,492.0,0.013548000002629124,416,5
relaxation,main_rounding,local_improvement,,nan,363.0,332.0,,main_rounding:363@78.778s|local_improvement:332@78.780s,0.03997659683227539,78.77773859683657,78.78019069683796,,both,rail582,RAIL582,1,56.60377358490566,332.0,100.78202750001219,0.0024521000013919547,1,55515,212.0,20.658482551574707,582,332.0,0.5942740440368652,427.046002956652,0.03997659683227539,78.72108980000485,363.0,0.016672199999447912,417,6
relaxation,randomized_rounding,local_improvement,,nan,513.0,351.0,,randomized_rounding:513@0.030s|local_improvement:351@0.035s,0.017323970794677734,0.03026207079528831,0.035085170791717246,,both,rail582,RAIL582,1,65.56603773584905,351.0,19.443502800000715,0.004823099996428937,1,55515,212.0,17.206626892089844,582,351.0,0.42432641983032227,427.046002956652,0.017323970794677734,0.0,513.0,0.012938100000610575,418,7
relaxation,randomized_rounding,local_improvement,,nan,522.0,337.0,,randomized_rounding:522@0.053s|local_improvement:337@0.061s,0.033179283142089844,0.052704283138155006,0.061122183135012165,,both,rail582,RAIL582,1,58.9622641509434,337.0,19.535944799994468,0.008417899996857159,1,55515,212.0,18.264071464538574,582,337.0,0.4799952507019043,427.046002956652,0.033179283142089844,0.0,522.0,0.019524999996065162,419,8
relaxation,randomized_rounding,local_improvement,polish,nan,519.0,337.0,244.0,randomized_rounding:519@0.058s|local_improvement:337@0.066s|polish:244@0.842s,0.030893802642822266,0.05796390264004003,0.06631740264128894,0.8417549961013719,both,rail582,RAIL582,1,15.09433962264151,244.0,19.817697299993597,0.008353500001248904,1,55515,212.0,18.44845175743103,582,244.0,0.775437593460083,427.046002956652,0.030893802642822266,0.0,519.0,0.027070099997217767,420,9
