metric,value
n_rows,1
hyb_int_min,327.0
hyb_int_avg,327.0
mip_obj_min,212.0
mip_obj_avg,212.0
gap_pct_avg,54.24528301886792
hyb_total_avg_s,3.064627100015059
polish_time_avg_s,1.0539054870605469
mip_time_avg_s,1.2370927333831787
