anytime_method_0,anytime_method_1,anytime_method_2,anytime_method_3,anytime_obj_0,anytime_obj_1,anytime_obj_2,anytime_obj_3,anytime_summary,anytime_t_0,anytime_t_1,anytime_t_2,anytime_t_3,controller,dataset,family,feasible,gap_pct,hyb_int,hyb_total,improve,k,m,mip_obj,mip_time,n,polish_obj,polish_time,relax_obj,relax_time,round_main,round_obj,round_rr,seed,trial
relaxation,randomized_rounding,local_improvement,polish,nan,481.0,332.0,227.0,randomized_rounding:481@0.033s|local_improvement:332@0.037s|polish:227@0.998s,0.021524906158447266,0.03268080615089275,0.03672300615289714,0.997770417117863,both,rail582,RAIL582,1,7.0754716981132075,227.0,24.063518299997668,0.0040422000020043924,1,55515,212.0,21.972928285598755,582,227.0,0.9610474109649658,427.046002956652,0.021524906158447266,0.0,481.0,0.011155899992445484,11,0
relaxation,randomized_rounding,local_improvement,polish,nan,499.0,351.0,241.0,randomized_rounding:499@0.034s|local_improvement:351@0.038s|polish:241@0.963s,0.018094539642333984,0.034304839646210894,0.038465739649836905,0.9634015573683428,both,rail582,RAIL582,1,13.679245283018869,241.0,23.958466600000975,0.004160900003626011,1,55515,212.0,21.970926523208618,582,241.0,0.9249358177185059,427.046002956652,0.018094539642333984,0.0,499.0,0.01621030000387691,12,1
relaxation,randomized_rounding,local_improvement,polish,nan,505.0,326.0,213.0,randomized_rounding:505@0.033s|local_improvement:326@0.039s|polish:213@1.044s,0.01920628547668457,0.033230385481147096,0.03947048546979204,1.0438051736564375,both,rail582,RAIL582,1,0.4716981132075472,213.0,25.21755000000121,0.006240099988644943,1,55515,212.0,23.21872591972351,582,213.0,1.0043346881866455,427.046002956652,0.01920628547668457,0.0,505.0,0.014024100004462525,13,2
relaxation,randomized_rounding,local_improvement,,nan,529.0,328.0,,randomized_rounding:529@0.097s|local_improvement:328@0.119s,0.05375528335571289,0.09743188336142339,0.11902948335045949,,both,rail582,RAIL582,1,54.716981132075475,328.0,31.428248500000336,0.021597599989036098,1,55515,212.0,28.863996982574463,582,328.0,1.3831722736358643,427.046002956652,0.05375528335571289,0.0,529.0,0.0436766000057105,14,3
relaxation,randomized_rounding,local_improvement,,nan,509.0,337.0,,randomized_rounding:509@0.089s|local_improvement:337@0.110s,0.05451560020446777,0.08943050021480303,0.11022930021863431,,both,rail582,RAIL582,1,58.9622641509434,337.0,29.502817500004312,0.020798800003831275,1,55515,212.0,25.08900809288025,582,337.0,1.1875624656677246,427.046002956652,0.05451560020446777,0.0,509.0,0.03491490001033526,15,4
