family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct,anytime_t_0,anytime_obj_0,anytime_method_0,anytime_summary
SYN,200,4000,0,0.002,0.1,,200,0.001,14.476447815482436,0.43661975860595703,0.0027489662170410156,1,13.69852093467432,30.231798887252808,12.56376780066423,0.43662071228027344,14.476447815482436,hybrid,hybrid:14@0.437s
SYN,300,6000,0,0.002,0.1,,200,0.001,19.625533424822834,5.648120880126953,0.017943620681762695,1,20.672313766661976,30.212090015411377,26.49154730110522,5.648123502731323,19.625533424822834,hybrid,hybrid:20@5.648s
