metric,value
n_rows,1
hyb_int_min,nan
hyb_int_avg,nan
mip_obj_min,nan
mip_obj_avg,nan
gap_pct_avg,nan
hyb_total_avg_s,nan
polish_time_avg_s,nan
mip_time_avg_s,nan
