anytime_method_0,anytime_method_1,anytime_method_2,anytime_method_3,anytime_obj_0,anytime_obj_1,anytime_obj_2,anytime_obj_3,anytime_summary,anytime_t_0,anytime_t_1,anytime_t_2,anytime_t_3,controller,dataset,family,feasible,gap_pct,hyb_int,hyb_total,improve,k,m,mip_obj,mip_time,n,polish_obj,polish_time,relax_obj,relax_time,round_main,round_obj,round_rr,seed,trial
relaxation,randomized_rounding,local_improvement,polish,nan,487.0,339.0,213.0,randomized_rounding:487@0.036s|local_improvement:339@0.040s|polish:213@1.014s,0.014979839324951172,0.03645143932590145,0.04026173932470556,1.0142071185819077,both,rail582,RAIL582,1,0.9478672985781991,213.0,21.678136200000154,0.003810299998804112,1,55515,211.0,19.82308316230774,582,213.0,0.9739453792572021,427.046002956652,0.014979839324951172,0.0,487.0,0.021471600000950275,411,0
relaxation,main_rounding,local_improvement,polish,nan,363.0,332.0,213.0,main_rounding:363@39.012s|local_improvement:332@39.015s|polish:213@40.017s,0.01654362678527832,39.012019326784866,39.014778326785745,40.01710862997788,both,rail582,RAIL582,1,0.9478672985781991,213.0,59.94358259999899,0.0027590000008785864,1,55515,211.0,19.43641948699951,582,213.0,1.0023303031921387,427.046002956652,0.01654362678527832,38.98138540000036,363.0,0.014090299999224953,412,1
relaxation,randomized_rounding,local_improvement,polish,nan,502.0,341.0,214.0,randomized_rounding:502@0.039s|local_improvement:341@0.045s|polish:214@0.997s,0.020577430725097656,0.03850953072651464,0.04545183072696091,0.9966196526111162,both,rail582,RAIL582,1,1.4218009478672986,214.0,21.714932000000772,0.0069423000004462665,1,55515,211.0,20.26369309425354,582,214.0,0.9511678218841553,427.046002956652,0.020577430725097656,0.0,502.0,0.017932100001416984,413,2
relaxation,randomized_rounding,local_improvement,polish,nan,524.0,334.0,213.0,randomized_rounding:524@0.025s|local_improvement:334@0.028s|polish:213@1.073s,0.013374805450439453,0.02521920545041212,0.028456905451093917,1.0732791214850295,both,rail582,RAIL582,1,0.9478672985781991,213.0,20.622852899999998,0.003237700000681798,1,55515,211.0,19.008214235305786,582,213.0,1.0448222160339355,427.046002956652,0.013374805450439453,0.0,524.0,0.011844399999972666,414,3
relaxation,randomized_rounding,local_improvement,polish,nan,490.0,324.0,213.0,randomized_rounding:490@0.029s|local_improvement:324@0.033s|polish:213@1.015s,0.015085458755493164,0.028815358755309717,0.03260265875542245,1.0150149970122584,both,rail582,RAIL582,1,0.9478672985781991,213.0,21.230449099999532,0.0037873000001127366,1,55515,211.0,19.73462152481079,582,213.0,0.9824123382568359,427.046002956652,0.015085458755493164,0.0,490.0,0.013729899999816553,415,4
relaxation,randomized_rounding,local_improvement,polish,nan,478.0,332.0,234.0,randomized_rounding:478@0.033s|local_improvement:332@0.037s|polish:234@0.999s,0.019218921661376953,0.03260862166098377,0.03696092166137532,0.9985152105255111,both,rail582,RAIL582,1,10.90047393364929,234.0,20.914796600000045,0.004352300000391551,1,55515,211.0,19.436769008636475,582,234.0,0.9615542888641357,427.046002956652,0.019218921661376953,0.0,478.0,0.013389699999606819,416,5
relaxation,randomized_rounding,local_improvement,polish,nan,523.0,320.0,213.0,randomized_rounding:523@0.023s|local_improvement:320@0.026s|polish:213@1.062s,0.014270305633544922,0.022861405634102994,0.02637100563333661,1.061629298785192,both,rail582,RAIL582,1,0.9478672985781991,213.0,20.568936500001655,0.0035095999992336147,1,55515,211.0,19.024186849594116,582,213.0,1.0352582931518555,427.046002956652,0.014270305633544922,0.0,523.0,0.008591100000558072,417,6
relaxation,randomized_rounding,local_improvement,polish,nan,501.0,342.0,214.0,randomized_rounding:501@0.028s|local_improvement:342@0.033s|polish:214@0.960s,0.014968633651733398,0.0284879336522863,0.03267863365181256,0.9604966935730772,both,rail582,RAIL582,1,1.4218009478672986,214.0,21.075916699999652,0.0041906999995262595,1,55515,211.0,19.682270050048828,582,214.0,0.9278180599212646,427.046002956652,0.014968633651733398,0.0,501.0,0.013519300000552903,418,7
relaxation,randomized_rounding,local_improvement,polish,nan,522.0,336.0,214.0,randomized_rounding:522@0.025s|local_improvement:336@0.029s|polish:214@1.244s,0.014180898666381836,0.024657298665260896,0.028697698666292126,1.2443542176024494,both,rail582,RAIL582,1,1.4218009478672986,214.0,21.0574945999997,0.00404040000103123,1,55515,211.0,19.338436365127563,582,214.0,1.2156565189361572,427.046002956652,0.014180898666381836,0.0,522.0,0.01047639999887906,419,8
relaxation,randomized_rounding,local_improvement,polish,nan,487.0,335.0,213.0,randomized_rounding:487@0.027s|local_improvement:335@0.031s|polish:213@1.011s,0.014251470565795898,0.026934470566629898,0.030782170566453715,1.0107018425787828,both,rail582,RAIL582,1,0.9478672985781991,213.0,21.050318600000537,0.003847699999823817,1,55515,211.0,19.514058113098145,582,213.0,0.9799196720123291,427.046002956652,0.014251470565795898,0.0,487.0,0.012683000000834,420,9
