family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct
SYN,200,4000,0,0.002,0.1,,200,0.001,15.271758886797006,2.74997878074646,0.010516643524169922,1,15.279128164132123,30.02594232559204,
SYN,200,4000,1,0.002,0.1,,200,0.001,15.44483979882467,2.710310459136963,0.013167619705200195,1,15.189542151489075,30.037473440170288,
SYN,200,4000,2,0.002,0.1,,200,0.001,15.369310024051213,2.6800432205200195,0.012833356857299805,1,15.46265778660677,30.023019075393677,
SYN,200,4000,3,0.002,0.1,,200,0.001,16.28132995889029,2.4598400592803955,0.010773658752441406,1,15.742515273553321,29.996231079101562,
SYN,200,4000,4,0.002,0.1,,200,0.001,15.16605002191498,0.7661468982696533,0.0026543140411376953,1,14.826824751653874,30.003158807754517,
SYN,300,6000,0,0.002,0.1,,200,0.001,19.12580588573462,1.219198226928711,0.0051882266998291016,1,19.41527853112409,30.000375032424927,
SYN,300,6000,1,0.002,0.1,,200,0.001,19.543734027936384,1.135840892791748,0.00534367561340332,1,19.274586086429935,30.032524585723877,
SYN,300,6000,2,0.002,0.1,,200,0.001,18.54876207431535,1.3256101608276367,0.007648468017578125,1,18.63903451891856,30.069067239761353,
SYN,300,6000,3,0.002,0.1,,200,0.001,18.308031486804218,1.2600736618041992,0.007165431976318359,1,18.807861021485845,30.042845487594604,
SYN,300,6000,4,0.002,0.1,,200,0.001,18.57607605174624,2.134640693664551,0.008020639419555664,1,19.160250020530235,29.99386477470398,
