family,n,m,trial,density,tau,tau_schedule,iters,tol,hyb_int,hyb_time,relax_time,feasible,mip_obj,mip_time,gap_pct,anytime_t_0,anytime_obj_0,anytime_method_0,anytime_summary
SYN,200,4000,0,0.002,0.1,,200,0.001,14.476447815482436,0.47693300247192383,0.003029346466064453,1,13.69852093467432,30.461981058120728,11.635787441333978,0.47693347930908203,14.476447815482436,hybrid,hybrid:14@0.477s
SYN,200,4000,1,0.002,0.1,,200,0.001,16.567671360389802,0.861382246017456,0.008440971374511719,1,15.776664756482438,30.118739128112793,16.04975985477744,0.8613836765289307,16.567671360389802,hybrid,hybrid:17@0.861s
SYN,200,4000,2,0.002,0.1,,200,0.001,15.5363052839091,0.5874416828155518,0.005173683166503906,1,14.653430245555164,30.058852434158325,16.31915714380027,0.5874419212341309,15.5363052839091,hybrid,hybrid:16@0.587s
SYN,200,4000,3,0.002,0.1,,200,0.001,16.573474680053142,0.659214973449707,0.005040884017944336,1,16.025759713452192,30.077249765396118,15.998386627974995,0.6592159271240234,16.573474680053142,hybrid,hybrid:17@0.659s
SYN,200,4000,4,0.002,0.1,,200,0.001,15.822401088816525,0.6423678398132324,0.004620552062988281,1,14.902269853867743,30.070496320724487,16.32023685569472,0.6423685550689697,15.822401088816525,hybrid,hybrid:16@0.642s
SYN,200,4000,5,0.002,0.1,,200,0.001,16.083851321991915,0.604011058807373,0.004918575286865234,1,15.00155895761162,30.060155153274536,10.969430556224063,0.6040115356445312,16.083851321991915,hybrid,hybrid:16@0.604s
SYN,200,4000,6,0.002,0.1,,200,0.001,14.360610486594286,0.7908303737640381,0.005799531936645508,1,13.400113709481625,30.084859371185303,15.15396627965268,0.7908315658569336,14.360610486594286,hybrid,hybrid:14@0.791s
SYN,200,4000,7,0.002,0.1,,200,0.001,14.488576619001963,0.745532751083374,0.004823207855224609,1,13.88852101249527,30.077723503112793,12.89112880897636,0.7455341815948486,14.488576619001963,hybrid,hybrid:14@0.746s
SYN,200,4000,8,0.002,0.1,,200,0.001,15.405617425849208,0.63690185546875,0.004757404327392578,1,14.561444810065844,30.050546646118164,13.533177182679076,0.6369030475616455,15.405617425849208,hybrid,hybrid:15@0.637s
SYN,200,4000,9,0.002,0.1,,200,0.001,15.616404682144648,0.917285680770874,0.008994579315185547,1,15.081437641745342,30.077152252197266,12.569064369552594,0.9172866344451904,15.616404682144648,hybrid,hybrid:16@0.917s
SYN,200,4000,10,0.002,0.1,,200,0.001,16.248680584276435,0.6553175449371338,0.004433393478393555,1,15.367473849980463,30.052852153778076,14.144697943487843,0.6553182601928711,16.248680584276435,hybrid,hybrid:16@0.655s
SYN,200,4000,11,0.002,0.1,,200,0.001,14.51189228675443,0.8251433372497559,0.007802248001098633,1,14.25121083624791,30.074532985687256,14.735905957820888,0.8251447677612305,14.51189228675443,hybrid,hybrid:15@0.825s
SYN,200,4000,12,0.002,0.1,,200,0.001,16.400197007669327,0.5860073566436768,0.0048258304595947266,1,15.104082368814371,30.06136727333069,13.229172475227985,0.5860080718994141,16.400197007669327,hybrid,hybrid:16@0.586s
SYN,200,4000,13,0.002,0.1,,200,0.001,14.816700218513741,0.5834612846374512,0.004482746124267578,1,13.8152475448415,30.059580326080322,13.856927448761766,0.5834617614746094,14.816700218513741,hybrid,hybrid:15@0.583s
SYN,200,4000,14,0.002,0.1,,200,0.001,15.251579723791878,0.6635124683380127,0.004702091217041016,1,14.626282313521573,30.061962842941284,14.451010967551046,0.6635127067565918,15.251579723791878,hybrid,hybrid:15@0.664s
SYN,200,4000,15,0.002,0.1,,200,0.001,15.8769679451181,0.6038055419921875,0.00481414794921875,1,15.26507470677859,30.055016040802002,14.234072872258526,0.6038062572479248,15.8769679451181,hybrid,hybrid:16@0.604s
SYN,200,4000,16,0.002,0.1,,200,0.001,15.838539485176332,0.8762626647949219,0.008699655532836914,1,15.53801149369173,30.07257890701294,15.220356271195717,0.8762638568878174,15.838539485176332,hybrid,hybrid:16@0.876s
SYN,200,4000,17,0.002,0.1,,200,0.001,14.609203988692137,1.1346404552459717,0.007373332977294922,1,13.879242566058364,30.065926790237427,11.785306699948245,1.134641408920288,14.609203988692137,hybrid,hybrid:15@1.135s
