anytime_method_0,anytime_method_1,anytime_method_2,anytime_method_3,anytime_obj_0,anytime_obj_1,anytime_obj_2,anytime_obj_3,anytime_summary,anytime_t_0,anytime_t_1,anytime_t_2,anytime_t_3,controller,dataset,family,feasible,gap_pct,hyb_int,hyb_total,improve,k,m,mip_obj,mip_time,n,polish_obj,polish_time,relax_obj,relax_time,round_main,round_obj,round_rr,seed,trial
relaxation,randomized_rounding,local_improvement,polish,nan,504.0,334.0,245.0,randomized_rounding:504@0.034s|local_improvement:334@0.038s|polish:245@0.564s,0.014561653137207031,0.03425375313963741,0.03777745313709602,0.5644359881407581,both,rail582,RAIL582,1,16.113744075829384,245.0,29.56086480000522,0.003523699997458607,1,55515,211.0,27.71505618095398,582,245.0,0.5266585350036621,427.046002956652,0.014561653137207031,0.0,504.0,0.01969210000243038,411,0
relaxation,randomized_rounding,local_improvement,,nan,533.0,337.0,,randomized_rounding:533@0.027s|local_improvement:337@0.031s,0.014255523681640625,0.02707222366007045,0.030963723664171994,,both,rail582,RAIL582,1,59.71563981042654,337.0,30.08546510001179,0.0038915000041015446,1,55515,211.0,29.02200937271118,582,337.0,0.5955519676208496,427.046002956652,0.014255523681640625,0.0,533.0,0.012816699978429824,412,1
relaxation,randomized_rounding,local_improvement,,nan,521.0,338.0,,randomized_rounding:521@0.026s|local_improvement:338@0.029s,0.015733957290649414,0.02588185726199299,0.02930335729615763,,both,rail582,RAIL582,1,60.18957345971564,338.0,30.024041299999226,0.0034215000341646373,1,55515,211.0,28.539182424545288,582,338.0,0.4248838424682617,427.046002956652,0.015733957290649414,0.0,521.0,0.010147899971343577,413,2
relaxation,randomized_rounding,local_improvement,,nan,509.0,340.0,,randomized_rounding:509@0.081s|local_improvement:340@0.097s,0.04452633857727051,0.08078543859301135,0.09669093857519329,,both,rail582,RAIL582,1,61.13744075829384,340.0,31.05148740002187,0.015905499982181937,1,55515,211.0,29.680729389190674,582,340.0,0.6905200481414795,427.046002956652,0.04452633857727051,0.0,509.0,0.03625910001574084,414,3
relaxation,randomized_rounding,local_improvement,,nan,517.0,344.0,,randomized_rounding:517@0.069s|local_improvement:344@0.084s,0.04190969467163086,0.06945599464233965,0.08386269462062046,,both,rail582,RAIL582,1,62.264150943396224,344.0,30.331433599989396,0.014406699978280813,1,55515,212.0,28.085856199264526,582,344.0,0.6864964962005615,427.046002956652,0.04190969467163086,0.0,517.0,0.027546299970708787,415,4
relaxation,randomized_rounding,local_improvement,polish,nan,525.0,337.0,243.0,randomized_rounding:525@0.031s|local_improvement:337@0.036s|polish:243@0.699s,0.017771005630493164,0.03068090562010184,0.036034305579960346,0.6985086994245648,both,rail582,RAIL582,1,15.165876777251185,243.0,29.20211339998059,0.005353399959858507,1,55515,211.0,27.429553747177124,582,243.0,0.6624743938446045,427.046002956652,0.017771005630493164,0.0,525.0,0.012909899989608675,416,5
relaxation,randomized_rounding,local_improvement,,nan,503.0,329.0,,randomized_rounding:503@0.025s|local_improvement:329@0.028s,0.015682220458984375,0.02470752043882385,0.028439020446967334,,both,rail582,RAIL582,1,55.92417061611374,329.0,31.18085450003855,0.0037315000081434846,1,55515,211.0,30.26712727546692,582,329.0,0.4155745506286621,427.046002956652,0.015682220458984375,0.0,503.0,0.009025299979839474,417,6
relaxation,randomized_rounding,local_improvement,,nan,516.0,343.0,,randomized_rounding:516@0.027s|local_improvement:343@0.031s,0.014268875122070312,0.027198275143746287,0.03115657513262704,,both,rail582,RAIL582,1,62.55924170616114,343.0,30.04249500000151,0.0039582999888807535,1,55515,211.0,29.095029592514038,582,343.0,0.4245486259460449,427.046002956652,0.014268875122070312,0.0,516.0,0.012929400021675974,418,7
relaxation,randomized_rounding,local_improvement,polish,nan,503.0,331.0,246.0,randomized_rounding:503@0.021s|local_improvement:331@0.024s|polish:246@0.558s,0.012094974517822266,0.020805674488656223,0.02364207449136302,0.5577125662821345,both,rail582,RAIL582,1,16.037735849056602,246.0,29.60741739999503,0.002836400002706796,1,55515,212.0,28.567372798919678,582,246.0,0.5340704917907715,427.046002956652,0.012094974517822266,0.0,503.0,0.008710699970833957,419,8
relaxation,randomized_rounding,local_improvement,,nan,519.0,335.0,,randomized_rounding:519@0.081s|local_improvement:335@0.097s,0.04341721534729004,0.0809835153631866,0.09698401537025347,,both,rail582,RAIL582,1,58.76777251184834,335.0,30.8330394999939,0.016000500007066876,1,55515,211.0,29.57521390914917,582,335.0,0.6406760215759277,427.046002956652,0.04341721534729004,0.0,519.0,0.03756630001589656,420,9
relaxation,randomized_rounding,local_improvement,polish,nan,521.0,336.0,244.0,randomized_rounding:521@0.026s|local_improvement:336@0.029s|polish:244@0.565s,0.014639854431152344,0.02609175443649292,0.029027254437096417,0.5651068995939568,both,rail582,RAIL582,1,15.639810426540285,244.0,29.241611399978865,0.002935500000603497,1,55515,211.0,27.582196712493896,582,244.0,0.5360796451568604,427.046002956652,0.014639854431152344,0.0,521.0,0.011451900005340576,421,10
relaxation,randomized_rounding,local_improvement,,nan,519.0,341.0,,randomized_rounding:519@0.078s|local_improvement:341@0.093s,0.043121337890625,0.07753163791494444,0.09337973792571574,,both,rail582,RAIL582,1,60.84905660377358,341.0,31.2033694999991,0.015848100010771304,1,55515,212.0,29.96149468421936,582,341.0,0.6188483238220215,427.046002956652,0.043121337890625,0.0,519.0,0.03441030002431944,422,11
relaxation,randomized_rounding,local_improvement,,nan,526.0,331.0,,randomized_rounding:526@0.031s|local_improvement:331@0.034s,0.015059471130371094,0.030647671141196042,0.034483271127101034,,both,rail582,RAIL582,1,56.872037914691944,331.0,28.999424699984957,0.0038355999859049916,1,55515,211.0,27.550374746322632,582,331.0,0.4158923625946045,427.046002956652,0.015059471130371094,0.0,526.0,0.015588200010824949,423,12
relaxation,randomized_rounding,local_improvement,polish,nan,480.0,328.0,240.0,randomized_rounding:480@0.024s|local_improvement:328@0.028s|polish:240@0.611s,0.014859676361083984,0.024198376340791583,0.02763497637351975,0.6111749391420744,both,rail582,RAIL582,1,13.744075829383887,240.0,30.16985179996118,0.0034366000327281654,1,55515,211.0,29.096502542495728,582,240.0,0.5835399627685547,427.046002956652,0.014859676361083984,0.0,480.0,0.009338699979707599,424,13
relaxation,randomized_rounding,local_improvement,polish,nan,505.0,325.0,233.0,randomized_rounding:505@0.026s|local_improvement:325@0.030s|polish:233@0.648s,0.013883590698242188,0.026271490671206266,0.029566290671937168,0.6482670333934948,both,rail582,RAIL582,1,10.42654028436019,233.0,30.127853700018022,0.003294800000730902,1,55515,211.0,29.02961301803589,582,233.0,0.6187007427215576,427.046002956652,0.013883590698242188,0.0,505.0,0.012387899972964078,425,14
relaxation,randomized_rounding,local_improvement,polish,nan,494.0,335.0,238.0,randomized_rounding:494@0.025s|local_improvement:335@0.028s|polish:238@0.608s,0.014398336410522461,0.025127536384388804,0.02832703635795042,0.6080887799034826,both,rail582,RAIL582,1,12.796208530805687,238.0,30.3010541999829,0.0031994999735616148,1,55515,211.0,29.231932640075684,582,238.0,0.5797617435455322,427.046002956652,0.014398336410522461,0.0,494.0,0.010729199973866343,426,15
relaxation,randomized_rounding,local_improvement,polish,nan,532.0,344.0,244.0,randomized_rounding:532@0.023s|local_improvement:344@0.026s|polish:244@0.575s,0.013627290725708008,0.022578490723390132,0.026022690697573125,0.5745282353600487,both,rail582,RAIL582,1,15.639810426540285,244.0,29.931949199992232,0.003444199974182993,1,55515,211.0,28.910430908203125,582,244.0,0.5485055446624756,427.046002956652,0.013627290725708008,0.0,532.0,0.008951199997682124,427,16
