family,n,m,trial,hybrid_obj,hybrid_time,cold_obj,cold_time,warm_obj,warm_time,improvement_time,hybrid_gap_pct,warm_improvement,speedup_vs_cold
WARMSTART,200,4000,0,15.185349996429979,1.7691969871520996,14.836999597086752,30.318252086639404,15.063724849366299,30.06732201576233,0.0712747573852539,2.3478493550112756,0.12162514706368022,1.008345607591708
WARMSTART,200,4000,1,14.016691515268676,1.584334135055542,13.715222583476876,30.107951879501343,13.717468810738191,30.178662300109863,1.082883596420288,2.1980608040221483,0.29922270453048405,0.9976569398634921
WARMSTART,200,4000,2,14.167910778046142,4.611577033996582,13.941258032140567,30.192904233932495,13.997392183209014,30.182495594024658,0.48111438751220703,1.6257696786261582,0.1705185948371284,1.0003448568351616
WARMSTART,200,4000,3,14.597125934905717,4.494280099868774,14.234689823776831,30.235191583633423,14.255267362890194,30.194774389266968,8.638059854507446,2.5461468821294106,0.34185857201552317,1.0013385493080824
WARMSTART,200,4000,4,15.805337385514509,4.673171281814575,15.70830750317171,30.138350009918213,15.507592357081943,30.05553698539734,1.1610691547393799,0.6176978794386809,0.29774502843256556,1.0027553333870265
WARMSTART,200,4000,5,16.099752840023953,1.6330296993255615,15.811139161293983,30.076103448867798,15.692755094106891,30.042957067489624,2.52402400970459,1.8253819398193802,0.40699774591706195,1.0011032995621474
WARMSTART,200,4000,6,16.212554351069464,1.645599603652954,15.574043423177493,30.070987224578857,15.536360858414154,30.07845640182495,1.5115835666656494,4.0998404238537764,0.6761934926553099,0.999751676843176
WARMSTART,200,4000,7,13.63506978568788,1.5494916439056396,13.693839154139301,30.068830013275146,13.428867301586138,30.05522847175598,0.6027367115020752,-0.42916648713268873,0.2062024841017429,1.0004525515928766
WARMSTART,200,4000,8,15.79121309356865,1.6264886856079102,15.088746202823254,30.16677165031433,15.636163854597768,30.04357647895813,7.668245553970337,4.655568337506786,0.15504923897088219,1.004100549461629
WARMSTART,200,4000,9,14.24841406662934,1.6342477798461914,14.461379576819532,30.08674955368042,14.238722328105181,30.07209062576294,0.07757711410522461,-1.4726500266375568,0.009691738524159277,1.0004874595551039
WARMSTART,400,8000,0,21.082250516975943,2.9031479358673096,23.75542242590684,30.148659467697144,21.082250516975943,30.110928535461426,,-11.252891491483764,0.0,1.001253064387944
WARMSTART,400,8000,1,20.562276075302023,3.0392696857452393,21.942939559269586,30.119429349899292,20.525627893187604,30.10397171974182,6.686053514480591,-6.292062557244364,0.036648182114419114,1.0005134747767297
WARMSTART,400,8000,2,21.821328589203162,3.140441656112671,22.592474321688144,30.133304357528687,21.711522791911392,30.10045886039734,12.839086055755615,-3.413285864597413,0.10980579729177009,1.0010911958945106
WARMSTART,400,8000,3,20.57921652656426,3.422100782394409,21.385545395688133,30.109822750091553,20.579216526564256,30.089763164520264,0.09114480018615723,-3.7704386500540226,3.552713678800501e-15,1.000666658140897
WARMSTART,400,8000,4,22.225587399206695,2.7676522731781006,23.610841336039655,30.129801511764526,22.01023318059826,30.107577562332153,0.11121797561645508,-5.867024885379686,0.21535421860843584,1.0007381513636016
WARMSTART,400,8000,5,20.691329953992657,2.6794965267181396,21.22854623179578,30.072917461395264,20.562672627163696,30.118666887283325,7.8481855392456055,-2.530631499384012,0.1286573268289608,0.9984810275282344
