family,n,m,trial,hybrid_obj,hybrid_time,cold_obj,cold_time,warm_obj,warm_time,improvement_time,hybrid_gap_pct,warm_improvement,speedup_vs_cold
WARMSTART,200,4000,0,15.405442951099719,0.7776150703430176,14.836999597086752,34.00975799560547,14.885481126733655,30.100239753723145,0.5602846145629883,3.831255438765266,0.5199618243660638,1.1298832924212423
WARMSTART,200,4000,1,14.19834717182902,0.5095906257629395,13.520461264024169,30.061956882476807,13.781177777510855,30.061885356903076,0.056270599365234375,5.013777966352375,0.41716939431816513,1.0000023792777093
WARMSTART,200,4000,2,14.480137939429111,3.0344839096069336,13.941258032140567,30.134193181991577,13.997598544989083,30.14195990562439,1.5312035083770752,3.8653606872937547,0.48253939444002825,0.9997423285129059
WARMSTART,200,4000,3,14.658858103826148,2.322164297103882,14.205415834889246,30.09912610054016,14.571351308965877,30.178343534469604,0.1844615936279297,3.1920379819028177,0.08750679486027124,0.9973750237868768
WARMSTART,200,4000,4,15.805337385514509,2.127349615097046,15.70830750317171,30.115705966949463,15.538373544701201,30.178600549697876,2.2827365398406982,0.6176978794386809,0.2669638408133075,0.9979159211625854
WARMSTART,200,4000,5,16.384597073760858,2.681605339050293,15.954106538352326,30.105803728103638,15.546614495963544,30.197635412216187,0.5495069026947021,2.6983055075736737,0.8379825777973142,0.9969589776530847
WARMSTART,200,4000,6,16.26689740901275,2.7636406421661377,16.00728132489846,30.17544436454773,15.795136321767338,30.15854573249817,0.4616281986236572,1.62186244400209,0.47176108724541166,1.0005603264891965
WARMSTART,200,4000,7,13.716754053426044,0.47792935371398926,13.693839154139301,30.081291675567627,13.687858108669797,30.047974348068237,1.1084556579589844,0.16733728962937583,0.028895944756246905,1.0011088044443013
WARMSTART,200,4000,8,15.79121309356865,0.5401887893676758,15.088746202823254,30.064294815063477,15.636163854597768,30.051841020584106,8.283384561538696,4.655568337506786,0.15504923897088219,1.0004144103674326
WARMSTART,200,4000,9,14.6351160465186,0.5259971618652344,14.461379576819532,30.092831134796143,14.166256210906242,30.059866189956665,0.6828110218048096,1.2013824046051245,0.4688598356123581,1.001096643099845
WARMSTART,400,8000,0,21.082250516975943,9.410887002944946,23.75542242590684,30.32429003715515,21.082250516975943,30.377963304519653,,-11.252891491483764,0.0,0.998233151221283
WARMSTART,400,8000,1,20.562276075302023,1.6806614398956299,21.942939559269586,30.265299320220947,20.525627893187604,30.157747268676758,6.751947402954102,-6.292062557244364,0.036648182114419114,1.0035663158320813
WARMSTART,400,8000,2,21.821328589203162,1.576484203338623,22.592474321688144,30.122292280197144,21.711522791911392,30.099985599517822,10.98720121383667,-3.413285864597413,0.10980579729177009,1.0007410860914059
WARMSTART,400,8000,3,20.57921652656426,1.5982599258422852,21.385545395688133,30.119747638702393,20.579216526564256,30.118165969848633,0.12047648429870605,-3.7704386500540226,3.552713678800501e-15,1.0000525154438469
